# Reference library (divisor): wt
# Comparison library (numerator): mut
Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	mut_R1 raw countings	mut_R2 raw countings	wt_R1 raw countings	wt_R2 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_003901.1	tRNAscan-SE	tRNA	2154731	2154810	.	-	.	ID=rna-MM_RS09370;Parent=gene-MM_RS09370;Dbxref=GeneID:2820550;anticodon=(pos:complement(2154776..2154778));gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.12;locus_tag=MM_RS09370;product=tRNA-Ser	488.0	793.5	256.0	457.25	461.241204616012	0.0367682723261261	0.177607188546254	0.20702018103592	0.835994097705674	0.928594441087786
sense	NC_003901.1	Protein Homology	CDS	2154932	2156335	.	-	0	ID=cds-WP_011033743.1;Parent=gene-MM_RS09375;Dbxref=GenBank:WP_011033743.1,GeneID:1480147;Name=WP_011033743.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033743.1;locus_tag=MM_RS09375;product=endonuclease Q family protein;protein_id=WP_011033743.1;transl_table=11	780.2428571428572	1103.7261904761904	358.33333333333337	584.7769230769231	650.839224906191	0.180769332779291	0.159350260911206	1.13441504109002	0.256620492749012	0.512711871079984
sense	NC_003901.1	Protein Homology	CDS	2156439	2157209	.	-	0	ID=cds-WP_011033744.1;Parent=gene-MM_RS09380;Dbxref=GenBank:WP_011033744.1,GeneID:1480148;Name=WP_011033744.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011306558.1;locus_tag=MM_RS09380;product=proteasome assembly chaperone family protein;protein_id=WP_011033744.1;transl_table=11	727.6507246376812	1051.5	363.5	561.0	627.317734023523	0.120837607913434	0.160545083064952	0.752670873542397	0.451647716725482	0.700068358486761
sense	NC_003901.1	Protein Homology	CDS	2157218	2157373	.	-	0	ID=cds-WP_011035258.1;Parent=gene-MM_RS17840;Dbxref=GenBank:WP_011035258.1,GeneID:31474408;Name=WP_011035258.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011035258.1;locus_tag=MM_RS17840;product=RNA-protein complex protein Nop10;protein_id=WP_011035258.1;transl_table=11	856.5	883.0	325.0	596.5	620.853278895116	0.146094482528967	0.178233529155655	0.8196801310116	0.412398479668241	0.667878763451574
sense	NC_003901.1	Protein Homology	CDS	2157380	2158186	.	-	0	ID=cds-WP_015412100.1;Parent=gene-MM_RS09385;Dbxref=GenBank:WP_015412100.1,GeneID:1480149;Name=WP_015412100.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011306560.1;locus_tag=MM_RS09385;product=translation initiation factor IF-2 subunit alpha;protein_id=WP_015412100.1;transl_table=11	3146.0000000000005	3799.9499999999985	1552.9166666666674	2643.1666666666674	2640.05072603362	-0.0519052153348893	0.143821622868976	-0.360899941882702	0.718174247032994	0.872846033513071
sense	NC_003901.1	Protein Homology	CDS	2158259	2158447	.	-	0	ID=cds-WP_011020692.1;Parent=gene-MM_RS09390;Dbxref=GenBank:WP_011020692.1,GeneID:1480150;Name=WP_011020692.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011020692.1;locus_tag=MM_RS09390;product=30S ribosomal protein S27e;protein_id=WP_011020692.1;transl_table=11	393.3333333333332	418.4999999999999	135.0	194.0	260.102372587911	0.452658624263881	0.198993479161248	2.27474099237735	0.022921471866848	0.109593287363367
sense	NC_003901.1	Protein Homology	CDS	2158454	2158732	.	-	0	ID=cds-WP_011033746.1;Parent=gene-MM_RS09395;Dbxref=GenBank:WP_011033746.1,GeneID:1480151;Name=WP_011033746.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011306562.1;locus_tag=MM_RS09395;product=50S ribosomal protein L44e;protein_id=WP_011033746.1;transl_table=11	185.5	254.0	76.0	107.5	141.478315577732	0.379305181812783	0.221100653061458	1.71553171173741	0.0862477864530654	0.26815220879044
sense	NC_003901.1	Protein Homology	CDS	2159120	2159845	.	-	0	ID=cds-WP_011033747.1;Parent=gene-MM_RS09400;Dbxref=GenBank:WP_011033747.1,GeneID:1480152;Name=WP_011033747.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033747.1;locus_tag=MM_RS09400;product=hypothetical protein;protein_id=WP_011033747.1;transl_table=11	635.5	945.0333333333333	284.83333333333337	593.1401515151515	565.730734678555	0.0657285346277213	0.1778862684385	0.369497517738114	0.711756923033373	0.870091410957954
sense	NC_003901.1	Protein Homology	CDS	2159811	2161055	.	-	0	ID=cds-WP_011033748.1;Parent=gene-MM_RS09405;Dbxref=GenBank:WP_011033748.1,GeneID:1480153;Name=WP_011033748.1;Ontology_term=GO:0006269,GO:0003896,GO:0005658;gbkey=CDS;gene=priS;go_component=alpha DNA polymerase:primase complex|0005658||IEA;go_function=DNA primase activity|0003896||IEA;go_process=DNA replication%2C synthesis of primer|0006269||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033748.1;locus_tag=MM_RS09405;product=DNA primase catalytic subunit PriS;protein_id=WP_011033748.1;transl_table=11	703.0833333333333	926.5333333333334	262.0	431.90833333333336	525.20412093676	0.403797017198663	0.164878641346283	2.44905594746257	0.0143231198232664	0.0791583827494969
sense	NC_003901.1	Protein Homology	CDS	2161400	2162227	.	+	0	ID=cds-WP_011033749.1;Parent=gene-MM_RS09410;Dbxref=GenBank:WP_011033749.1,GeneID:1480154;Name=WP_011033749.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033749.1;locus_tag=MM_RS09410;product=formylglycine-generating enzyme family protein;protein_id=WP_011033749.1;transl_table=11	240.5	415.0	181.0	252.0	260.904355094606	-0.219786652017525	0.199133548550716	-1.10371483668684	0.269716857583926	0.526926683465372
sense	NC_003901.1	Protein Homology	CDS	2162571	2164910	.	+	0	ID=cds-MM_RS09415;Parent=gene-MM_RS09415;Dbxref=GeneID:24771988;Note=internal stop;gbkey=CDS;gene=rqcH;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011020698.1;locus_tag=MM_RS09415;product=ribosome rescue protein RqcH;pseudo=true;transl_table=11	434.1666666666667	629.8708333333333	179.4333333333333	344.66666666666663	361.434885480454	0.2141383097892	0.183194619739183	1.16891156571122	0.242439263211805	0.498071334386372
sense	NC_003901.1	Protein Homology	CDS	2164907	2165959	.	+	0	ID=cds-WP_011033752.1;Parent=gene-MM_RS09420;Dbxref=GenBank:WP_011033752.1,GeneID:1480157;Name=WP_011033752.1;Ontology_term=GO:0006402,GO:0071025;gbkey=CDS;go_process=mRNA catabolic process|0006402||IEA,RNA surveillance|0071025||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011020699.1;locus_tag=MM_RS09420;product=mRNA surveillance protein pelota;protein_id=WP_011033752.1;transl_table=11	342.5	408.7666666666667	129.83333333333334	200.14285714285714	247.099879312743	0.349707000647063	0.193922930555079	1.80332980553704	0.0713364343639885	0.235653425791039
sense	NC_003901.1	Protein Homology	CDS	2166356	2167633	.	+	0	ID=cds-WP_011033753.1;Parent=gene-MM_RS09425;Dbxref=GenBank:WP_011033753.1,GeneID:1480158;Name=WP_011033753.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033753.1;locus_tag=MM_RS09425;product=S-layer protein domain-containing protein;protein_id=WP_011033753.1;transl_table=11	2718.9166666666665	3519.0833333333335	2012.7	2520.4583333333335	2660.78233742851	-0.353211255665475	0.153271161721246	-2.3044860605145	0.0211953739510638	0.103051951399406
sense	NC_003901.1	Protein Homology	CDS	2168258	2168977	.	-	0	ID=cds-WP_011033754.1;Parent=gene-MM_RS09430;Dbxref=GenBank:WP_011033754.1,GeneID:1480159;Name=WP_011033754.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412109.1;locus_tag=MM_RS09430;product=DUF1614 domain-containing protein;protein_id=WP_011033754.1;transl_table=11	260.5333333333333	282.33333333333337	90.5	148.75	178.925184618573	0.353223127327996	0.213457740238952	1.65476841895068	0.0979714824046978	0.293007303858494
sense	NC_003901.1	Protein Homology	CDS	2169138	2170013	.	-	0	ID=cds-WP_011033755.1;Parent=gene-MM_RS09435;Dbxref=GenBank:WP_011033755.1,GeneID:1480160;Name=WP_011033755.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033755.1;locus_tag=MM_RS09435;product=DNA integrity scanning protein DisA nucleotide-binding domain protein;protein_id=WP_011033755.1;transl_table=11	1040.9761904761904	1454.3619047619047	228.66666666666666	426.83333333333337	668.493083606163	1.05810221386145	0.165491077454647	6.39371155312844	1.61906726498688e-10	1.38430251156379e-08
sense	NC_003901.1	Protein Homology	CDS	2170157	2171461	.	+	0	ID=cds-WP_011033756.1;Parent=gene-MM_RS09440;Dbxref=GenBank:WP_011033756.1,GeneID:1480161;Name=WP_011033756.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033147.1;locus_tag=MM_RS09440;product=ISNCY family transposase;protein_id=WP_011033756.1;transl_table=11	659.2361111111094	736.165508511105	384.2749999999972	532.7951770451668	562.273246881593	-0.183744637307437	0.171990390893363	-1.0683424600236	0.285366062062822	0.542905197916638
sense	NC_003901.1	Protein Homology	CDS	2172057	2172614	.	+	0	ID=cds-WP_011033757.1;Parent=gene-MM_RS09445;Dbxref=GenBank:WP_011033757.1,GeneID:1480162;Name=WP_011033757.1;Ontology_term=GO:0008033,GO:0008664;gbkey=CDS;gene=thpR;go_function=RNA 2'%2C3'-cyclic 3'-phosphodiesterase activity|0008664||IEA;go_process=tRNA processing|0008033||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033757.1;locus_tag=MM_RS09445;product=RNA 2'%2C3'-cyclic phosphodiesterase;protein_id=WP_011033757.1;transl_table=11	306.5	292.53333333333336	172.0	211.0	240.943931588762	-0.140726336473702	0.212903983891912	-0.660984984410377	0.50862194316933	0.742974849140926
sense	NC_003901.1	Protein Homology	CDS	2172947	2173951	.	+	0	ID=cds-WP_048036587.1;Parent=gene-MM_RS09450;Dbxref=GenBank:WP_048036587.1,GeneID:1480163;Name=WP_048036587.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011306575.1;locus_tag=MM_RS09450;product=replication factor C small subunit;protein_id=WP_048036587.1;transl_table=11	890.0333333333334	1077.0833333333335	617.75	791.45	832.90303110684	-0.319031716115292	0.164761256262183	-1.93632728563091	0.052827628996819	0.19268496548777
sense	NC_003901.1	Protein Homology	CDS	2174204	2174716	.	+	0	ID=cds-WP_011033760.1;Parent=gene-MM_RS09455;Dbxref=GenBank:WP_011033760.1,GeneID:1480165;Name=WP_011033760.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033760.1;locus_tag=MM_RS09455;product=COG2426 family protein;protein_id=WP_011033760.1;transl_table=11	422.0	489.9761904761905	216.5	331.33333333333337	347.918974172022	-0.052279440774654	0.180947618293779	-0.288920303387333	0.772642366142867	0.89945729602853
sense	NC_003901.1	Protein Homology	CDS	2174928	2175191	.	+	0	ID=cds-WP_048045885.1;Parent=gene-MM_RS09460;Dbxref=GenBank:WP_048045885.1,GeneID:1480166;Name=WP_048045885.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412113.1;locus_tag=MM_RS09460;product=4Fe-4S binding protein;protein_id=WP_048045885.1;transl_table=11	894.3333333333333	1303.0	676.0	1127.5	983.494680448025	-0.488829438820037	0.152294584373153	-3.2097624536819	0.00132844707767501	0.0130908327281399
sense	NC_003901.1	Protein Homology	CDS	2175267	2175479	.	-	0	ID=cds-WP_011033762.1;Parent=gene-MM_RS09465;Dbxref=GenBank:WP_011033762.1,GeneID:1480167;Name=WP_011033762.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033762.1;locus_tag=MM_RS09465;product=histone family protein;protein_id=WP_011033762.1;transl_table=11	2123.833333333333	2124.5	1273.8333333333333	2347.7500000000005	1953.99300003899	-0.48174598295821	0.16803600256896	-2.86692122874386	0.0041448616373331	0.0314598244901497
sense	NC_003901.1	Protein Homology	CDS	2175835	2176800	.	+	0	ID=cds-WP_011033763.1;Parent=gene-MM_RS09470;Dbxref=GenBank:WP_011033763.1,GeneID:1480168;Name=WP_011033763.1;Ontology_term=GO:0008168,GO:1904047;gbkey=CDS;go_function=methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033763.1;locus_tag=MM_RS09470;product=class I SAM-dependent methyltransferase;protein_id=WP_011033763.1;transl_table=11	504.05	700.3333333333333	263.0333333333333	445.49999999999994	449.278567522409	-0.0300894387602902	0.169530547642133	-0.177486825700621	0.859126012522396	0.937844280286371
sense	NC_003901.1	Protein Homology	CDS	2177306	2179027	.	+	0	ID=cds-WP_011033764.1;Parent=gene-MM_RS09475;Dbxref=GenBank:WP_011033764.1,GeneID:1480169;Name=WP_011033764.1;Ontology_term=GO:0006814,GO:0008948,GO:0015081;gbkey=CDS;gene=oadA;go_function=oxaloacetate decarboxylase activity|0008948||IEA,sodium ion transmembrane transporter activity|0015081||IEA;go_process=sodium ion transport|0006814||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412117.1;locus_tag=MM_RS09475;product=sodium-extruding oxaloacetate decarboxylase subunit alpha;protein_id=WP_011033764.1;transl_table=11	476.45	606.7	203.5	332.2833333333333	373.783860862847	0.201051094286554	0.17549732519597	1.14560774109833	0.251957492803015	0.507230215774491
sense	NC_003901.1	Protein Homology	CDS	2179050	2180531	.	+	0	ID=cds-WP_011033765.1;Parent=gene-MM_RS09480;Dbxref=GenBank:WP_011033765.1,GeneID:1480170;Name=WP_011033765.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412118.1;locus_tag=MM_RS09480;product=acetyl-CoA carboxylase biotin carboxylase subunit;protein_id=WP_011033765.1;transl_table=11	405.3333333333333	480.0833333333333	250.33333333333334	310.69999999999993	351.460745750071	-0.151202603311477	0.187373949339055	-0.806956377046173	0.419691616239299	0.674350339450058
sense	NC_003901.1	Protein Homology	CDS	2180649	2181626	.	+	0	ID=cds-WP_011033766.1;Parent=gene-MM_RS09485;Dbxref=GenBank:WP_011033766.1,GeneID:1480171;Name=WP_011033766.1;Ontology_term=GO:0036211,GO:0004077;gbkey=CDS;go_function=biotin-[acetyl-CoA-carboxylase] ligase activity|0004077||IEA;go_process=protein modification process|0036211||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033766.1;locus_tag=MM_RS09485;product=biotin--[acetyl-CoA-carboxylase] ligase;protein_id=WP_011033766.1;transl_table=11	1181.7916666666665	1426.4324786324792	782.9861111111111	890.0833333333334	1047.30896960628	-0.186371165667896	0.173449653743949	-1.07449719065466	0.28259990323183	0.539760382862791
sense	NC_003901.1	Protein Homology	CDS	2181592	2182230	.	+	0	ID=cds-WP_226987565.1;Parent=gene-MM_RS09490;Dbxref=GenBank:WP_226987565.1,GeneID:1480172;Name=WP_226987565.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011020722.1;locus_tag=MM_RS09490;product=S-layer protein domain-containing protein;protein_id=WP_226987565.1;transl_table=11	1087.4159090909093	1292.9793650793654	674.125	795.2500000000001	934.809883914784	-0.128554386002159	0.171442584189326	-0.749839292320715	0.453351500782387	0.700414032623336
sense	NC_003901.1	Protein Homology	CDS	2182290	2182571	.	-	0	ID=cds-WP_080503111.1;Parent=gene-MM_RS19585;Dbxref=GenBank:WP_080503111.1,GeneID:95969264;Name=WP_080503111.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF024986.5;locus_tag=MM_RS19585;product=pentapeptide repeat-containing protein;protein_id=WP_080503111.1;transl_table=11	73.00000000000003	68.00000000000003	52.0	85.00000000000003	70.9022447189561	-0.566568489579102	0.267030978360233	-2.12173319012741	0.0338601498084196	0.142447837182454
sense	NC_003901.1	Protein Homology	CDS	2182865	2184298	.	+	0	ID=cds-MM_RS09505;Parent=gene-MM_RS09505;Dbxref=GeneID:1480174;Note=internal stop;Ontology_term=GO:0006313,GO:0004803;gbkey=CDS;go_function=transposase activity|0004803||IEA;go_process=DNA transposition|0006313||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_086558284.1;locus_tag=MM_RS09505;product=IS66-like element ISMma14 family transposase;pseudo=true;transl_table=11	884.8488684516891	1078.8354001389162	484.90097351474503	696.5382010962036	751.991786804341	-0.0706665134452027	0.159036060062274	-0.444342707040978	0.656794828870304	0.842541385693516
sense	NC_003901.1	Protein Homology	CDS	2184313	2185275	.	-	0	ID=cds-WP_011033768.1;Parent=gene-MM_RS09510;Dbxref=GenBank:WP_011033768.1,GeneID:1480175;Name=WP_011033768.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033768.1;locus_tag=MM_RS09510;product=coiled-coil protein;protein_id=WP_011033768.1;transl_table=11	1183.6602564102566	1304.8333333333335	495.25	761.9019230769231	874.647061566594	0.183818392711904	0.162015370293086	1.13457379000138	0.256553940080734	0.512711871079984
sense	NC_003901.1	Protein Homology	CDS	2185306	2185929	.	-	0	ID=cds-WP_011033769.1;Parent=gene-MM_RS09515;Dbxref=GenBank:WP_011033769.1,GeneID:1480176;Name=WP_011033769.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033769.1;locus_tag=MM_RS09515;product=hypothetical protein;protein_id=WP_011033769.1;transl_table=11	191.25	268.43333333333334	60.416666666666664	144.61111111111111	147.958873307678	0.340643833651594	0.23037442313339	1.47865300764901	0.139233077776699	0.361046105235124
sense	NC_003901.1	Protein Homology	CDS	2186060	2186350	.	-	0	ID=cds-WP_011033770.1;Parent=gene-MM_RS09520;Dbxref=GenBank:WP_011033770.1,GeneID:1480177;Name=WP_011033770.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033770.1;locus_tag=MM_RS09520;product=DUF424 domain-containing protein;protein_id=WP_011033770.1;transl_table=11	252.03333333333333	367.8333333333333	88.5	173.47619047619048	196.367693153156	0.4056474021409	0.20830500210124	1.94737235327526	0.0514901100949885	0.190192820897245
sense	NC_003901.1	Protein Homology	CDS	2186497	2188602	.	-	0	ID=cds-WP_011033771.1;Parent=gene-MM_RS09525;Dbxref=GenBank:WP_011033771.1,GeneID:1480178;Name=WP_011033771.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011020726.1;locus_tag=MM_RS09525;product=minichromosome maintenance protein MCM;protein_id=WP_011033771.1;transl_table=11	1816.642857142857	2605.583333333333	449.93333333333334	783.3428571428572	1208.68482317209	0.983104817217212	0.151497744900784	6.48923730093174	8.62719913889542e-11	8.09008641831258e-09
sense	NC_003901.1	Protein Homology	CDS	2188729	2189487	.	-	0	ID=cds-WP_015412120.1;Parent=gene-MM_RS09530;Dbxref=GenBank:WP_015412120.1,GeneID:1480179;Name=WP_015412120.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412120.1;locus_tag=MM_RS09530;product=RNA methyltransferase;protein_id=WP_015412120.1;transl_table=11	100.5	177.30882352941177	34.64285714285714	75.5	84.8977090002979	0.415171018902567	0.259869709711044	1.59761220099182	0.110129309381374	0.314485169323824
sense	NC_003901.1	Protein Homology	CDS	2189518	2189715	.	-	0	ID=cds-WP_011033773.1;Parent=gene-MM_RS09535;Dbxref=GenBank:WP_011033773.1,GeneID:1480180;Name=WP_011033773.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033773.1;locus_tag=MM_RS09535;product=4Fe-4S dicluster domain-containing protein;protein_id=WP_011033773.1;transl_table=11	119.0	164.0909090909091	39.5	130.83333333333334	103.548153573797	0.0016364662438562	0.262504684075842	0.00623404587852382	0.995025983260017	0.996494927277006
sense	NC_003901.1	Protein Homology	CDS	2190407	2191681	.	+	0	ID=cds-WP_015412121.1;Parent=gene-MM_RS17850;Dbxref=GenBank:WP_015412121.1,GeneID:31474410;Name=WP_015412121.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF024919.5;locus_tag=MM_RS17850;product=C39 family peptidase;protein_id=WP_015412121.1;transl_table=11	717.1666666666667	870.0333333333333	351.91666666666663	549.5833333333333	587.667941152803	0.0177206298243724	0.163188961907458	0.10858963509077	0.913527982136252	0.962532020322612
sense	NC_003901.1	Protein Homology	CDS	2191714	2192721	.	+	0	ID=cds-WP_226987566.1;Parent=gene-MM_RS09540;Dbxref=GenBank:WP_226987566.1,GeneID:1480182;Name=WP_226987566.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033775.1;locus_tag=MM_RS09540;product=right-handed parallel beta-helix repeat-containing protein;protein_id=WP_226987566.1;transl_table=11	522.1666666666667	635.0333333333333	243.66666666666666	438.3611111111111	432.944400810299	-0.014430240493426	0.174551344094313	-0.0826704633430329	0.934113571292699	0.970814636369805
sense	NC_003901.1	Protein Homology	CDS	2193716	2194390	.	+	0	ID=cds-WP_011033777.1;Parent=gene-MM_RS09545;Dbxref=GenBank:WP_011033777.1,GeneID:1480184;Name=WP_011033777.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033777.1;locus_tag=MM_RS09545;product=NAD(P)/FAD-dependent oxidoreductase;protein_id=WP_011033777.1;transl_table=11	357.0	462.25	160.14285714285714	233.25	280.104051322417	0.225035901233696	0.186936324261317	1.20381045322749	0.228662848495277	0.485199197500563
sense	NC_003901.1	Protein Homology	CDS	2195032	2195811	.	+	0	ID=cds-WP_011033778.1;Parent=gene-MM_RS09550;Dbxref=GenBank:WP_011033778.1,GeneID:1480185;Name=WP_011033778.1;Ontology_term=GO:0015948,GO:0051912;gbkey=CDS;gene=hdrE;go_function=CoB--CoM heterodisulfide reductase activity|0051912||IEA;go_process=methanogenesis|0015948||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033778.1;locus_tag=MM_RS09550;product=dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit HdrE;protein_id=WP_011033778.1;transl_table=11	1194.3333333333335	1585.5	716.0	1034.3088235294117	1085.97219080206	-0.139934425813319	0.149874087813168	-0.933679916622815	0.350469027714848	0.614112997930719
sense	NC_003901.1	Protein Homology	CDS	2195813	2197042	.	+	0	ID=cds-WP_048045886.1;Parent=gene-MM_RS09555;Dbxref=GenBank:WP_048045886.1,GeneID:1480186;Name=WP_048045886.1;Ontology_term=GO:0015948,GO:0051912;gbkey=CDS;gene=hdrD;go_function=CoB--CoM heterodisulfide reductase activity|0051912||IEA;go_process=methanogenesis|0015948||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_048045886.1;locus_tag=MM_RS09555;product=dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit HdrD;protein_id=WP_048045886.1;transl_table=11	2324.500000000001	2543.116666666667	1639.5	2208.666666666667	2180.54844125917	-0.438616994183466	0.157723300852268	-2.78092705271429	0.00542039154127053	0.0390026688378055
sense	NC_003901.1	Protein Homology	CDS	2197153	2197788	.	+	0	ID=cds-WP_011033780.1;Parent=gene-MM_RS09560;Dbxref=GenBank:WP_011033780.1,GeneID:1480187;Name=WP_011033780.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412126.1;locus_tag=MM_RS09560;product=DUF116 domain-containing protein;protein_id=WP_011033780.1;transl_table=11	547.215909090909	818.2500000000001	321.16666666666663	482.25	511.539232772868	-0.0518716477880627	0.167344040098496	-0.309970093691606	0.75658369879463	0.889360619650622
sense	NC_003901.1	Protein Homology	CDS	2197781	2198404	.	+	0	ID=cds-WP_011033781.1;Parent=gene-MM_RS09565;Dbxref=GenBank:WP_011033781.1,GeneID:1480188;Name=WP_011033781.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033781.1;locus_tag=MM_RS09565;product=DUF116 domain-containing protein;protein_id=WP_011033781.1;transl_table=11	363.735632183908	469.84003831417624	351.5	438.75	417.214969070626	-0.691660832602036	0.180299669466012	-3.8361736028164	0.000124966088386479	0.00194273883439053
sense	NC_003901.1	Protein Homology	CDS	2198571	2199569	.	+	0	ID=cds-WP_011033782.1;Parent=gene-MM_RS09570;Dbxref=GenBank:WP_011033782.1,GeneID:1480189;Name=WP_011033782.1;Ontology_term=GO:0016491;gbkey=CDS;go_function=oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033782.1;locus_tag=MM_RS09570;product=NAD(P)/FAD-dependent oxidoreductase;protein_id=WP_011033782.1;transl_table=11	541.0	716.6833333333333	330.83333333333337	487.2	499.420615350195	-0.177920969405793	0.165889806987913	-1.07252502511355	0.283484279929199	0.540136303882328
sense	NC_003901.1	Protein Homology	CDS	2199946	2201115	.	+	0	ID=cds-WP_015412129.1;Parent=gene-MM_RS09580;Dbxref=GenBank:WP_015412129.1,GeneID:1480191;Name=WP_015412129.1;Ontology_term=GO:0015995,GO:0030494,GO:0045550;gbkey=CDS;go_function=geranylgeranyl reductase activity|0045550||IEA;go_process=chlorophyll biosynthetic process|0015995||IEA,bacteriochlorophyll biosynthetic process|0030494||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412129.1;locus_tag=MM_RS09580;product=geranylgeranyl reductase family protein;protein_id=WP_015412129.1;transl_table=11	140.83333333333331	219.31111111111113	60.06666666666666	125.66666666666666	124.183865160577	0.140662703655708	0.234223922392012	0.600547980834708	0.548141094156774	0.774469189539825
sense	NC_003901.1	Protein Homology	CDS	2201973	2203112	.	+	0	ID=cds-WP_048040760.1;Parent=gene-MM_RS09590;Dbxref=GenBank:WP_048040760.1,GeneID:1480193;Name=WP_048040760.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412131.1;locus_tag=MM_RS09590;product=methanogenesis marker 9 domain-containing protein;protein_id=WP_048040760.1;transl_table=11	552.6611111111112	799.5	204.5	320.55555555555554	418.71269082951	0.510060276706565	0.172776893324542	2.95213246917499	0.00315587510837568	0.0254836915001336
sense	NC_003901.1	Protein Homology	CDS	2203099	2204154	.	+	0	ID=cds-WP_011033787.1;Parent=gene-MM_RS09595;Dbxref=GenBank:WP_011033787.1,GeneID:1480194;Name=WP_011033787.1;Ontology_term=GO:0016310,GO:0005524,GO:0046917;gbkey=CDS;go_function=ATP binding|0005524||IEA,triphosphoribosyl-dephospho-CoA synthase activity|0046917||IEA;go_process=phosphorylation|0016310||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412132.1;locus_tag=MM_RS09595;product=triphosphoribosyl-dephospho-CoA synthase;protein_id=WP_011033787.1;transl_table=11	464.01666666666654	596.6111111111111	159.0	295.00000000000006	341.075406847604	0.40434355802436	0.182788266094143	2.21208705933075	0.026960650091332	0.121888973274498
sense	NC_003901.1	Protein Homology	CDS	2204151	2204789	.	+	0	ID=cds-WP_011033788.1;Parent=gene-MM_RS09600;Dbxref=GenBank:WP_011033788.1,GeneID:1480195;Name=WP_011033788.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011033788.1;locus_tag=MM_RS09600;product=DUF447 domain-containing protein;protein_id=WP_011033788.1;transl_table=11	310.5	396.5	155.0	258.75	264.062497518628	-0.0207781066083204	0.188874384703457	-0.110010188204944	0.912401294940515	0.962073904290319
